,City,Lat,Lng,Temp,Humidity,Max Temp,Cloudiness,Wind Speed,Country,Date
76,Puerto Colombia,10.99,-74.95,78.8,94,78.8,75,4.7,CO,1598537192
77,Lębork,54.54,17.75,65.37,72,66.2,40,13.87,PL,1598537192
78,Fulton,33.77,-84.45,77.68,88,81.0,1,3.36,US,1598537192
79,Kariya,34.75,134.4,82.0,86,82.0,7,10.07,JP,1598537192
80,Richards Bay,-28.78,32.04,71.82,52,71.82,0,16.78,ZA,1598537192
81,Härnösand,62.63,17.94,60.62,48,62.01,65,10.29,SE,1598537193
82,Ajra,16.12,74.2,73.4,88,73.4,75,6.93,IN,1598537193
83,Simao,22.79,100.97,67.68,71,67.68,0,0.92,CN,1598537193
84,Dubti,11.74,41.09,101.07,22,101.07,93,11.63,ET,1598537193
85,Humberto de Campos,-2.6,-43.46,90.0,53,90.0,33,7.85,BR,1598537194
86,Hobart,-42.88,147.33,44.8,61,46.4,40,20.8,AU,1598537194
87,Pak Phanang,8.35,100.2,86.0,84,86.0,40,10.2,TH,1598537194
88,Torbay,47.67,-52.73,62.94,63,64.0,40,11.41,CA,1598537116
89,Borogontsy,62.67,131.17,44.82,59,44.82,0,4.9,RU,1598537194
90,Upernavik,72.79,-56.15,44.82,63,44.82,98,8.75,GL,1598537195
91,Summerville,33.02,-80.18,82.63,83,84.99,1,2.77,US,1598536940
92,Khāsh,28.22,61.22,81.3,17,81.3,1,15.68,IR,1598536937
93,Saint Paul,44.94,-93.09,73.06,88,75.0,90,8.05,US,1598537195
94,Cidreira,-30.18,-50.21,70.0,60,70.0,91,7.81,BR,1598537195
95,Kisanga,-7.44,37.7,86.76,42,86.76,67,9.1,TZ,1598537196
96,Zabaykal'sk,49.63,117.32,58.51,90,58.51,100,23.02,RU,1598537196
97,Honningsvåg,70.98,25.97,48.2,70,48.2,75,16.11,NO,1598537196
98,Erbil,36.19,44.01,102.4,8,102.4,0,10.8,IQ,1598537196
99,Qaanaaq,77.48,-69.36,38.64,88,38.64,100,10.54,GL,1598537196
100,Amuntai,-2.42,115.25,76.33,82,76.33,97,0.45,ID,1598537196
101,Saint George,37.1,-113.58,78.04,31,79.0,1,6.93,US,1598537104
102,Tahe,52.33,124.73,48.18,78,48.18,48,3.78,CN,1598537197
103,Hofn,64.25,-15.21,51.8,76,51.8,75,8.05,IS,1598537197
104,Ribeira Grande,38.52,-28.7,77.0,88,77.0,40,4.7,PT,1598537197
105,Butaritari,3.07,172.79,81.9,71,81.9,31,7.87,KI,1598537197
106,Waipawa,-41.41,175.52,43.41,87,44.6,3,5.82,NZ,1598537197
107,Talaya,61.38,152.75,42.17,78,42.17,100,5.86,RU,1598537197
108,Cabo San Lucas,22.89,-109.91,81.68,79,82.99,38,10.25,MX,1598537019
109,São Filipe,14.9,-24.5,78.71,83,78.71,60,3.67,CV,1598537198
110,Kruisfontein,-34.0,24.73,68.0,57,68.0,0,5.01,ZA,1598537198
111,Pisco,-13.7,-76.22,61.32,82,62.01,20,4.7,PE,1598537198
112,Aksu,41.12,80.26,78.89,31,78.89,100,12.71,CN,1598537198
113,Dunhua,43.37,128.24,71.06,92,71.06,100,10.4,CN,1598537198
114,Machilipatnam,16.17,81.13,84.2,83,84.2,90,5.82,IN,1598537198
115,Maragogi,-9.01,-35.22,78.62,59,78.62,0,9.08,BR,1598537199
